code_pra,ratio,valeur
29101,r1_sau_surf,0.23602148200460635
33123,r1_sau_surf,0.5269891087324899
29102,r1_sau_surf,0.19381062730859255
30411,r1_sau_surf,0.46608777349120784
33127,r1_sau_surf,0.6243176289435859
30414,r1_sau_surf,0.6817947507727407
30415,r1_sau_surf,0.38745861348975286
30422,r1_sau_surf,0.3118681080630537
30465,r1_sau_surf,0.35189182340168507
30471,r1_sau_surf,0.5025784571230103
31385,r1_sau_surf,0.6236873702052446
31389,r1_sau_surf,0.622520705110432
31390,r1_sau_surf,0.4509597820156249
31391,r1_sau_surf,0.6463523441644089
31392,r1_sau_surf,0.6204347228369343
31393,r1_sau_surf,0.44405552251521213
31472,r1_sau_surf,0.45268203005347213
32147,r1_sau_surf,0.7403237300471888
32149,r1_sau_surf,0.7297841565438304
32384,r1_sau_surf,0.8438498655391344
32385,r1_sau_surf,0.7864901442800578
32386,r1_sau_surf,0.9435410477473068
32387,r1_sau_surf,0.6898768209440481
33115,r1_sau_surf,0.4893174891168437
33116,r1_sau_surf,0.6820368268691601
33117,r1_sau_surf,0.3684904700227209
33124,r1_sau_surf,0.5153580139096092
33405,r1_sau_surf,0.19401613588404037
33125,r1_sau_surf,0.6170645966752337
41341,r1_sau_surf,0.7990011932460865
41343,r1_sau_surf,0.09630696917294902
41346,r1_sau_surf,0.7793377131038228
41350,r1_sau_surf,0.6293154411132518
41351,r1_sau_surf,0.7762380448059893
33126,r1_sau_surf,0.10612545535306656
33129,r1_sau_surf,0.33635826071827196
33135,r1_sau_surf,0.04724379015261503
33136,r1_sau_surf,0.24629275575951243
33400,r1_sau_surf,0.4923116318721844
33401,r1_sau_surf,0.584386363149651
33402,r1_sau_surf,0.6067838082203334
33406,r1_sau_surf,0.3299564300230013
35098,r1_sau_surf,0.7513248284724472
35099,r1_sau_surf,0.8450221436873478
35357,r1_sau_surf,0.7280873462131566
35358,r1_sau_surf,0.5666384654872252
35359,r1_sau_surf,0.6843463829993327
35363,r1_sau_surf,0.6031759458467297
36434,r1_sau_surf,0.7692778696562034
36435,r1_sau_surf,0.6712997457597514
36436,r1_sau_surf,0.6811706603505421
36438,r1_sau_surf,0.5041894349692949
37069,r1_sau_surf,0.5830126894115583
37070,r1_sau_surf,0.5986214253790398
41434,r1_sau_surf,0.6228342166179521
37071,r1_sau_surf,0.46715224807289085
37073,r1_sau_surf,0.39282961886618983
73213,r1_sau_surf,0.18125009677040327
37074,r1_sau_surf,0.5470140570492441
43417,r1_sau_surf,0.5194177282004617
43418,r1_sau_surf,0.4991252659043076
43423,r1_sau_surf,0.5947619896527779
43424,r1_sau_surf,0.6372861273929735
43425,r1_sau_surf,0.35003433591524974
39203,r1_sau_surf,0.328232334618516
39206,r1_sau_surf,0.6977298771929105
39209,r1_sau_surf,0.4735464555457901
39212,r1_sau_surf,0.4699057757054715
39446,r1_sau_surf,0.505445154162977
39447,r1_sau_surf,0.4005128448018881
39449,r1_sau_surf,0.21684853575644142
39451,r1_sau_surf,0.41324255198545423
39452,r1_sau_surf,0.3374722575735339
40130,r1_sau_surf,0.03553706386379061
40131,r1_sau_surf,0.05630259355356894
47394,r1_sau_surf,0.5730119787730791
40132,r1_sau_surf,0.1223279354873215
40134,r1_sau_surf,0.07335875107051995
40144,r1_sau_surf,0.1938112807162522
47401,r1_sau_surf,0.7556152719090009
40145,r1_sau_surf,0.3059882540915518
40379,r1_sau_surf,0.5080936787638648
40380,r1_sau_surf,0.46931475200346423
41065,r1_sau_surf,0.40564863662083994
41068,r1_sau_surf,0.39137101380823275
41075,r1_sau_surf,0.7305143916561493
42191,r1_sau_surf,0.4429456439896322
42193,r1_sau_surf,0.5489611221990132
42425,r1_sau_surf,0.3937817009861677
42445,r1_sau_surf,0.6527560615602229
42465,r1_sau_surf,0.2529518351271075
43172,r1_sau_surf,0.46624903664111
43177,r1_sau_surf,0.4824937259315749
43427,r1_sau_surf,0.5985597058072628
44107,r1_sau_surf,0.143700681785113
44365,r1_sau_surf,0.5935408053507873
44368,r1_sau_surf,0.7434229272417046
45338,r1_sau_surf,0.5978518491523211
45339,r1_sau_surf,0.8567629005405148
45340,r1_sau_surf,0.49376610565903667
66254,r1_sau_surf,0.2439849929182188
66255,r1_sau_surf,0.5279667253237582
66256,r1_sau_surf,0.7337768261790633
45341,r1_sau_surf,0.8798754094763404
45439,r1_sau_surf,0.596755972595905
47402,r1_sau_surf,0.6308672264697521
47404,r1_sau_surf,0.17383425412113793
50081,r1_sau_surf,0.6275806879697824
50083,r1_sau_surf,0.5913468303093316
52008,r1_sau_surf,0.4804512752948183
68002,r1_sau_surf,0.24688557146326462
